run,config,server,status,duration_sec,load_rate,load_payload_bytes,netem_shaped,requests,success_ratio,throughput_req_s,throughput_bytes_in,latency_p50_ns,latency_p95_ns,latency_p99_ns,latency_max_ns,rss_initial_kb,rss_final_kb,rss_peak_kb,slope_kb_per_min,leak,leak_threshold_kb_per_min,n_samples,n_fit_samples,warmup_sec
20260615-142339,reality-vision,wrongsv,ok,600,200,8192,False,120000,1,200.00143621898022,983040000,513322,784426,926573,2607854,8144,8308,8308,0.0,False,50.0,121,109,60
20260615-142339,reality-vision,xray,ok,600,200,8192,False,120000,1,200.00138092586806,983040000,482396,674318,790304,1407555,34584,35844,38148,-279.904,False,50.0,121,109,60
20260615-142339,reality-vision,sing-box,ok,600,200,8192,False,120000,1,200.00134737341034,983040000,506594,712007,822530,1728724,35828,36012,36012,20.409,False,50.0,121,109,60
20260615-142339,reality-vision,mihomo,unsupported,,,,,,,,,,,,,,,,,,,,,
20260615-142339,shadowsocks-2022,wrongsv,ok,600,200,8192,False,120000,1,200.0013997401296,983040000,531597,732596,851625,1396242,7112,7112,7112,0.0,False,50.0,121,109,60
20260615-142339,shadowsocks-2022,xray,ok,600,200,8192,False,120000,1,200.00156267520967,983040000,531844,728805,852158,1308436,31436,31596,31608,2.359,False,50.0,121,109,60
20260615-142339,shadowsocks-2022,sing-box,ok,600,200,8192,False,120000,1,200.0014146753398,983040000,535027,733364,853968,1655969,34476,34796,34796,37.263,False,50.0,121,109,60
20260615-142339,shadowsocks-2022,mihomo,ok,600,200,8192,False,120000,1,200.0012243778288,983040000,555959,778506,923999,4518215,42088,37340,42528,-336.349,False,50.0,121,109,60
20260615-142339,tls-vision,mihomo,unsupported,,,,,,,,,,,,,,,,,,,,,
20260615-142339,vmess,wrongsv,ok,600,200,8192,False,120000,1,200.00145056752066,983040000,555247,761141,885997,1731768,6880,6880,6880,0.0,False,50.0,121,109,60
20260615-142339,vmess,xray,ok,600,200,8192,False,120000,1,200.00132721214072,983040000,531735,726826,846486,2133440,31436,31304,31436,-14.783,False,50.0,121,109,60
20260615-142339,vmess,sing-box,ok,600,200,8192,False,120000,1,200.0013359759241,983040000,532480,728912,849682,1465060,34804,34996,34996,18.49,False,50.0,121,109,60
20260615-142339,vmess,mihomo,ok,600,200,8192,False,120000,1,200.00140158382214,983040000,530669,723870,844100,1386913,41836,37060,42552,-334.15,False,50.0,121,109,60
20260615-162915,hysteria2,wrongsv,ok,600,200,8192,True,120000,1,200.00157976581153,983040000,532797,727877,847902,1553743,9196,9196,9196,0.0,False,50.0,121,109,60
20260615-162915,hysteria2,sing-box,ok,600,200,8192,True,120000,1,200.0014622060235,983040000,528328,722400,842404,1374655,35344,35504,35504,16.332,False,50.0,121,109,60
20260615-162915,hysteria2,mihomo,ok,600,200,8192,True,120000,1,200.0013566385356,983040000,530677,726099,845330,2476306,44348,38104,44348,-338.522,False,50.0,121,109,60
20260615-162915,shadowtls,wrongsv,ok,600,200,8192,True,120000,1,200.0014311302406,983040000,533379,730138,850893,1343293,8988,8988,8988,0.0,False,50.0,121,109,60
20260615-162915,shadowtls,sing-box,ok,600,200,8192,True,120000,1,200.00120771195947,983040000,540734,741986,861671,2794243,34916,35080,35080,14.116,False,50.0,121,109,60
20260615-162915,shadowtls,mihomo,unsupported,,,,,,,,,,,,,,,,,,,,,
20260615-204011,anytls-tcp,wrongsv,ok,600,200,8192,True,120000,1,200.00128157187876,983040000,529196,724051,846491,1506300,8504,8504,8504,0.0,False,50.0,121,109,60
20260615-204011,anytls-tcp,xray,unsupported,,,,,,,,,,,,,,,,,,,,,
20260615-204011,anytls-tcp,sing-box,ok,600,200,8192,True,120000,1,200.00138297289635,983040000,533552,729397,848550,2926308,35716,35904,35904,23.421,False,50.0,121,109,60
20260615-204011,anytls-tcp,mihomo,ok,600,200,8192,True,120000,1,200.0014797716152,983040000,534181,731301,855532,1846182,42804,38352,43292,-335.744,False,50.0,121,109,60
20260615-204011,tls-vision,wrongsv,ok,600,200,8192,True,120000,1,200.00145456657873,983040000,533756,740042,860444,1277784,8280,8280,8280,0.0,False,50.0,121,109,60
20260615-204011,tls-vision,xray,ok,600,200,8192,True,120000,1,200.00163909176632,983040000,529849,732249,849356,1487347,33116,33276,35084,12.053,False,50.0,121,109,60
20260615-204011,tls-vision,sing-box,ok,600,200,8192,True,120000,1,200.00149004576778,983040000,532218,728491,847575,1307819,36160,36288,36288,16.577,False,50.0,121,109,60
20260615-204011,tls-vision,mihomo,unsupported,,,,,,,,,,,,,,,,,,,,,
20260615-204011,trojan-tls,wrongsv,ok,600,200,8192,True,120000,1,200.00148704138974,983040000,534308,730348,850219,3613145,8544,8544,8544,0.0,False,50.0,121,109,60
20260615-204011,trojan-tls,xray,ok,600,200,8192,True,120000,1,200.00144496210618,983040000,531544,733718,852333,1303099,33068,33216,34560,10.881,False,50.0,121,109,60
20260615-204011,trojan-tls,sing-box,ok,600,200,8192,True,120000,1,200.00128416324534,983040000,536928,736497,861123,1406861,35148,35328,35328,21.75,False,50.0,121,109,60
20260615-204011,trojan-tls,mihomo,ok,600,200,8192,True,120000,1,200.00161097464277,983040000,535392,737403,858989,1874007,43136,38068,43136,-346.716,False,50.0,121,109,60
